id,id_index,kode_provinsi,nama_provinsi,periode_update,kab_kota,nama_ruas_jalan,kategori,jumlah,satuan,tahun
430,4293,35,JAWA TIMUR,2025,KABUPATEN PACITAN,ARJOSARI - PURWANTORO (BTS. PROV. JATENG),KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
430,4294,35,JAWA TIMUR,2025,KABUPATEN PACITAN,ARJOSARI - PURWANTORO (BTS. PROV. JATENG),LEBAR BAHU KANAN MEMENUHI,0.0,KM,2025
430,4295,35,JAWA TIMUR,2025,KABUPATEN PACITAN,ARJOSARI - PURWANTORO (BTS. PROV. JATENG),LEBAR BAHU KANAN TIDAK MEMENUHI,46.31,KM,2025
430,4296,35,JAWA TIMUR,2025,KABUPATEN PACITAN,ARJOSARI - PURWANTORO (BTS. PROV. JATENG),LEBAR BAHU KIRI MEMENUHI,0.0,KM,2025
430,4297,35,JAWA TIMUR,2025,KABUPATEN PACITAN,ARJOSARI - PURWANTORO (BTS. PROV. JATENG),LEBAR BAHU KIRI TIDAK MEMENUHI,46.31,KM,2025
430,4298,35,JAWA TIMUR,2025,KABUPATEN PACITAN,ARJOSARI - PURWANTORO (BTS. PROV. JATENG),LEBAR JALAN MEMENUHI,0.1,KM,2025
430,4299,35,JAWA TIMUR,2025,KABUPATEN PACITAN,ARJOSARI - PURWANTORO (BTS. PROV. JATENG),LEBAR JALAN TIDAK MEMENUHI,46.21,KM,2025
430,4300,35,JAWA TIMUR,2025,KABUPATEN PACITAN,ARJOSARI - PURWANTORO (BTS. PROV. JATENG),PANJANG JALAN,46.31,KM,2025
431,4301,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),BANGUNAN PELENGKAP,0.0,KM,2025
431,4302,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),KELANDAIAN MEMENUHI,0.0,KM,2025
431,4303,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),KELANDAIAN TIDAK MEMENUHI,0.0,KM,2025
431,4304,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),LEBAR BAHU KANAN MEMENUHI,8.26,KM,2025
431,4305,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),LEBAR BAHU KANAN TIDAK MEMENUHI,0.0,KM,2025
431,4306,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),LEBAR BAHU KIRI MEMENUHI,8.26,KM,2025
431,4307,35,JAWA TIMUR,2025,KABUPATEN PACITAN,WARENG - MUKUS (BTS. PROV. JATENG),LEBAR BAHU KIRI TIDAK MEMENUHI,0.0,KM,2025
